,acc_alpha,acc_settings,alpha_2,best_OFwinsize,best_bilatfil_size,best_scale,gt_file,mag_file,ms_ssim,ms_ssim_best,ms_ssim_mag,orig_file,psnr,psnr_best,psnr_mag,score,score_best,score_mag,scorebest_OFwinsize,sfm_best_file,sfm_default_file,ssim,ssim_best,ssim_mag,status,video_num,vmaf,vmaf_best,vmaf_mag
10,16,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag10_texturebg_moveX_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig10_texturebg_moveX_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.7174424555555556,0.7198957333333333,0.7180096666666667,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig10_texturebg_moveX_amp1.0_Large.mp4,22.224163044444445,22.35299241111111,23.13968787777778,0.614618635,0.6221482142222222,0.588864600074074,,./from_ACC/large_motion/v10_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v10_fromACC_s1_b1_w15_DEFAULT.mp4,0.6985746444444444,0.7024933777777778,0.7200138666666667,1,10,42.78388050000001,44.40555315555556,32.85702668888889
11,16,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag11_texturemovebg_moveX_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig11_texturemovebg_moveX_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.4764135444444445,0.4749393666666667,0.4661866888888889,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig11_texturemovebg_moveX_amp1.0_Large.mp4,18.64089611111111,18.645051877777778,19.39141958888889,0.3409940297777778,0.3431508005185186,0.3188413969259259,,./from_ACC/large_motion/v11_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v11_fromACC_s1_b1_w15_DEFAULT.mp4,0.4981527666666667,0.4999587333333334,0.47811159999999997,1,11,4.841577822222222,5.455430155555556,1.2225901888888888
12,8,,1,7.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag12_plainbg_moveX_amp2.0_alpha8_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig12_plainbg_moveX_amp2.0_Large_fm_2_alpha_8_pylevel_4_kernel_INT.mp4,0.6955159222222222,0.7025844777777778,0.7099237444444444,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig12_plainbg_moveX_amp2.0_Large.mp4,24.369695844444443,24.43371372222222,24.953578644444445,0.48026640077777777,0.4824886780740741,0.4841694177037037,,./from_ACC/large_motion/v12_fromACC_s1_b1_w7_BEST.mp4,./from_ACC/large_motion/v12_fromACC_s1_b1_w15_DEFAULT.mp4,0.7040893555555556,0.7089434111111111,0.7289024888888888,1,12,4.119392455555555,3.5938145333333336,1.3682019777777779
13,8,,1,15.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag13_texturebg_moveX_amp2.0_alpha8_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig13_texturebg_moveX_amp2.0_Large_fm_2_alpha_8_pylevel_4_kernel_INT.mp4,0.5555189,0.5555189,0.5612823888888888,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig13_texturebg_moveX_amp2.0_Large.mp4,19.67425488888889,19.67425488888889,20.656309811111115,0.4204983467407408,0.4204983467407408,0.40903442066666656,,./from_ACC/large_motion/v13_fromACC_s1_b1_w15_BEST.mp4,./from_ACC/large_motion/v13_fromACC_s1_b1_w15_DEFAULT.mp4,0.5646651222222222,0.5646651222222222,0.5810957444444445,1,13,14.1311018,14.1311018,8.472512866666667
14,8,,1,23.0,1,2,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag14_texturemovebg_moveX_amp2.0_alpha8_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig14_texturemovebg_moveX_amp2.0_Large_fm_2_alpha_8_pylevel_4_kernel_INT.mp4,0.7801869444444445,0.7831906777777777,0.7314553666666667,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig14_texturemovebg_moveX_amp2.0_Large.mp4,23.32211138888889,23.61330324444445,22.171412966666665,0.6781096752222223,0.6896630682222223,0.5608594215555556,,./from_ACC/large_motion/v14_fromACC_s2_b1_w23_BEST.mp4,./from_ACC/large_motion/v14_fromACC_s1_b1_w15_DEFAULT.mp4,0.7347434,0.7398347777777778,0.651534711111111,1,14,51.93986812222223,54.59637491111111,29.95881868888889
15,4,,1,15.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag15_plainbg_moveX_amp4.0_alpha4_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig15_plainbg_moveX_amp4.0_Large_fm_2_alpha_4_pylevel_4_kernel_INT.mp4,0.8953195111111113,0.8953195111111113,0.877359923076923,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig15_plainbg_moveX_amp4.0_Large.mp4,29.581243255555556,29.581243255555556,29.23283280769231,0.6286807412962964,0.6286807412962964,0.6087379433333333,,./from_ACC/large_motion/v15_fromACC_s1_b1_w15_BEST.mp4,./from_ACC/large_motion/v15_fromACC_s1_b1_w15_DEFAULT.mp4,0.9060041555555554,0.9060041555555554,0.8941642307692307,1,15,8.471855722222223,8.471855722222223,5.4689676153846145
16,4,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag16_texturebg_moveX_amp4.0_alpha4_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig16_texturebg_moveX_amp4.0_Large_fm_2_alpha_4_pylevel_4_kernel_INT.mp4,0.800958911111111,0.8024378333333333,0.8002407333333335,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig16_texturebg_moveX_amp4.0_Large.mp4,23.221438088888892,23.359794355555554,23.60764078888889,0.6926201396296294,0.6967458392592593,0.6748917448888889,,./from_ACC/large_motion/v16_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v16_fromACC_s1_b1_w15_DEFAULT.mp4,0.8058191888888888,0.8082170333333333,0.8066568555555557,1,16,47.10823188888889,47.958265111111096,41.77776457777777
17,4,,1,23.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag17_texturemovebg_moveX_amp4.0_alpha4_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig17_texturemovebg_moveX_amp4.0_Large_fm_2_alpha_4_pylevel_4_kernel_INT.mp4,0.8076249666666667,0.8069350444444443,0.8128103222222223,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig17_texturemovebg_moveX_amp4.0_Large.mp4,24.898370811111104,24.93627294444444,25.222785855555557,0.6575425955925926,0.6598285652962962,0.623077950888889,,./from_ACC/large_motion/v17_fromACC_s1_b1_w23_BEST.mp4,./from_ACC/large_motion/v17_fromACC_s1_b1_w15_DEFAULT.mp4,0.7860226222222222,0.7856789444444443,0.7951236444444444,1,17,37.89801978888889,38.687170699999996,26.129988600000004
18,16,,1,7.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag18_plainbg_moveXY_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig18_plainbg_moveXY_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.745173288888889,0.750534088888889,0.7464326,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig18_plainbg_moveXY_amp1.0_Large.mp4,20.03456961111111,20.163389066666667,20.716459144444443,0.5143492813333334,0.5169008986666667,0.5148858534814816,,./from_ACC/large_motion/v18_fromACC_s1_b1_w7_BEST.mp4,./from_ACC/large_motion/v18_fromACC_s1_b1_w15_DEFAULT.mp4,0.7898225333333334,0.7927645666666665,0.7936540111111114,1,18,0.8052021777777778,0.7404040444444444,0.45709493333333334
19,16,,1,7.0,1,1,../momag-database/resultVideos/moveHalfLarge_downsize_4/mag19_texturebg_moveXY_amp1.0_alpha16_Large.mp4,../data/VideoAccelerationResults/momag-database/large_motion/orig19_texturebg_moveXY_amp1.0_Large_fm_2_alpha_16_pylevel_4_kernel_INT.mp4,0.637382311111111,0.6418292999999999,0.6598764666666667,../momag-database/resultVideos/moveHalfLarge_downsize_4/orig19_texturebg_moveXY_amp1.0_Large.mp4,23.477607133333333,23.534504755555552,24.375261111111115,0.4807768258148148,0.4827775236296296,0.4921510792222223,,./from_ACC/large_motion/v19_fromACC_s1_b1_w7_BEST.mp4,./from_ACC/large_motion/v19_fromACC_s1_b1_w15_DEFAULT.mp4,0.6295985000000001,0.6338978888888889,0.6664921222222223,1,19,17.534966633333333,17.2605382,15.008464877777776
